"Player","Rank","ADP","Diff","Finish2024","Team","Pos","PosRank","Notes","Id"
"Najee Harris","164","153.2","-0.07","90","LAC","RB","54","","3a9a963f-6618-40ac-93c6-96ea04cb223f"
"Hunter Henry","165","159.1","-0.04","158","NE","TE","18","","24e943a8-7926-4012-9d7e-138315b764cd"
"Theo Johnson","166","210.2","0.21","251","NYG","TE","19","","3349f39b-9dd6-42f3-a50c-8f7e8134d2bf"
"Mason Taylor","167","188.7","0.11","","NYJ","TE","20","Rookie","a6ce2c32-ead2-45cf-8add-22978d63a07e"
"Jaylen Wright","168","175.4","0.04","303","MIA","RB","55","","fa1a54e5-4c1c-45b8-9e9a-3c1568a28d6b"
"Miles Sanders","169","200.5","0.16","","DAL","RB","56","","f24adb34-5412-4edf-95ff-6b68e5fbd41d"
"Roschon Johnson","170","187.5","0.09","219","CHI","RB","57","","3e43e336-3c1d-430f-8961-701e685e8d5d"
"Anthony Richardson","171","175.6","0.03","129","IND","QB","27","","ab78a171-01c4-457c-aa8c-7fd835bff986"
"Isaiah Likely","172","169.8","-0.01","126","BAL","TE","21","","427d8203-aea8-4b01-972f-039aa0baa0c3"
"Jonnu Smith","173","178","0.03","64","PIT","TE","22","","c6ad3f37-27db-4232-99cc-aeed22777e85"
"Brenton Strange","174","153.2","-0.14","242","JAX","TE","23","","951df6a2-c1b0-499f-819e-67798c2cc6a2"
"Zach Ertz","175","162.8","-0.07","110","WAS","TE","24","","44a906d5-b179-45f9-b69f-281595bea71d"
"Matthew Stafford","176","175.9","0","183","LA","QB","28","","50be3583-2a3d-455a-91ce-ba6959783642"
"Michael Wilson","177","192.7","0.08","209","ARI","WR","68","","9e0a17b1-fda3-4066-aa3c-4f742588536c"
"Quentin Johnston","178","169.6","-0.05","76","LAC","WR","69","","82b3392d-0403-4cc7-9adc-8881b1647655"
"Dyami Brown","179","184.4","0.03","195","JAX","WR","70","","9f137949-d162-475c-bf95-9d43e7d58824"
"Jalen McMillan","180","162.8","-0.11","79","TB","WR","71","","2b703cdf-19c6-44bc-9061-11994c555ce9"
"DJ Giddens","181","211.2","0.14","","IND","RB","58","Rookie","5187785b-3707-4207-aee0-a55778dfb9a1"
"Keaton Mitchell","182","186.1","0.02","","BAL","RB","59","","b760285b-f146-44b7-91a6-80b79734aa3a"
"Jerome Ford","183","168.4","-0.09","112","CLE","RB","60","","47a14de7-342a-4a2d-b5ea-2e4cca880e67"
"Aaron Rodgers","184","193.2","0.05","165","PIT","QB","29","","1bd33029-b88d-43fa-998e-775a6741a5e7"
"Jaxson Dart","185","210.6","0.12","","NYG","QB","30","Rookie","0e7d3cb4-f568-41e0-88e6-7812989ae958"
"Russell Wilson","186","209.1","0.11","166","NYG","QB","31","","0a189fd2-3410-4074-a5c6-0197f8d4041c"
"DeAndre Hopkins","187","193.8","0.04","142","BAL","WR","72","","54ad314c-d98a-4087-9831-d9fe55233e1c"
"Tre Tucker","188","212.9","0.12","154","LV","WR","73","","aaefaf37-9d15-4306-ad32-8f6245e98a4d"
"Dont'e Thornton","189","164.6","-0.15","","LV","WR","74","Rookie","7062199b-47a5-4de1-bc7d-22640861b406"
