"Player","Team","Pos","Rank","ADP","2023 Finish","2022 Finish","Id","Diff"
"Gardner Minshew II","Raiders","QB","222","215.3","199","179","5cd0ffa9-619f-4ea0-a340-2147a2dee05d","-0.03"
"Chig Okonkwo","Titans","TE","223","200.9","239","227","f71fb47b-cb8d-436b-a9ea-3a8f7d4da6f5","-0.11"
"Tucker Kraft","Packers","TE","224","213.9","242","","112e0165-5616-4de6-97fe-3a99d6a48dbe","-0.05"
"Theo Johnson","Giants","TE","225","209.5","","","220b09df-76f5-4c09-b525-7bd4113aa51a","-0.07"
"Michael Mayer","Raiders","TE","226","215.5","221","","df7ae891-91f9-4ca9-a9cd-943bf8d3d548","-0.05"
"Roman Wilson","Steelers","WR","227","201.4","","","ee4764a1-5eaa-450f-bfb6-fda7fd37485f","-0.13"
"Ray-Ray McCloud","Falcons","WR","228","214","","","c9dab34a-6d7e-4d13-931d-32f357da159e","-0.07"
"Treylon Burks","Titans","WR","229","212.6","303","213","e68c8a9b-e51b-4184-b41e-0b9ebf3ad193","-0.08"
"Marvin Mims Jr.","Broncos","WR","230","178.5","160","","fc1ccabb-3073-4b34-a1c4-3310e43d369e","-0.29"
"Johnny Wilson","Eagles","WR","231","214.1","","","bd7fdfef-bf95-4c63-ac61-1ca7672ef09f","-0.08"
"K.J. Osborn","Patriots","WR","232","215.8","154","","8345b52f-3b03-4d99-8b01-fd2ddbb64975","-0.08"
"Michael Penix","Falcons","QB","233","215.8","","","feb2d1d8-9688-4547-86ce-3955794a2b88","-0.08"
"Aidan O'Connell","Raiders","QB","234","215.7","183","","fa05fa48-c595-4b99-8fdd-e50dc8644fce","-0.08"
"Justice Hill","Ravens","RB","235","205.1","158","377","dc54aaed-d67b-4a0b-8893-858001d7053d","-0.15"
"Kenneth Gainwell","Eagles","RB","236","215.7","276","","819b347a-556a-4c90-b7b1-356dc12c162d","-0.09"
"Samaje Perine","Broncos","RB","237","215.9","207","","cd52e459-87a8-465f-b612-a51359fa9c19","-0.1"
"Jamaal Williams","Saints","RB","238","215.3","310","","b6d0dae3-7a01-4d3d-8d43-521fd0974b9d","-0.11"
"Tyler Boyd","Titans","WR","239","199.2","168","131","b85602ca-8575-47c6-9cd5-36aaeaab7038","-0.2"
"Jordan Whittington","Rams","WR","240","214.5","","","32399581-6bbb-456d-90b0-e958dab9a105","-0.12"
"DJ Chark Jr.","Chargers","WR","241","190.2","127","","a3f9a932-cb32-4d30-84c0-7e4347bb909f","-0.27"
"Xavier Gipson","Jets","WR","242","215.9","299","","9edc79a1-7ec7-49c4-8919-c57251d06a81","-0.12"
"Malachi Corley","Jets","WR","243","187.6","","","feaa26c4-cff4-487a-970a-ddad711e5b09","-0.3"
"Bo Melton","Packers","WR","244","215.5","334","","60308505-0d50-4aad-88e6-7af905d7be9b","-0.13"
"Jacoby Brissett","Patriots","QB","245","216","334","","b9d7fb42-b2c8-499d-989a-f6c8dd3cf6b1","-0.13"
"Mike Gesicki","Bengals","TE","246","207.7","322","190","72b37a2c-fc4e-459f-9993-cdce1843deff","-0.18"
"Greg Dulcich","Broncos","TE","247","212.5","334","","450097ed-6eb2-419a-897c-cddc4aa48a51","-0.16"
"Tommy Tremble","Panthers","TE","248","216","333","","b3a4187b-aca8-47a0-b4cd-345eea97908b","-0.15"
"Gerald Everett","Bears","TE","249","215.8","218","","4b1bbd87-a4eb-49ed-a734-0387091e8449","-0.15"
"Davis Allen","Rams","TE","250","216","258","","bac84494-6e28-405f-91f3-558aeac31fbe","-0.16"
"Hayden Hurst","Chargers","TE","251","215.2","229","","ad6ea23f-5301-4943-84e4-79dc17f32393","-0.17"
"Daniel Bellinger","Giants","TE","252","215.9","334","","b449f31a-1021-49bb-8095-b31a6e7d1b77","-0.17"
"Zach Ertz","Commanders","TE","253","214.6","287","141","746a77dd-2238-418d-b736-f21ac804caed","-0.18"
"Ja'Tavion Sanders","Panthers","TE","254","215","","","65ffbb28-dca4-45c1-8f35-b93688f96de6","-0.18"
"Cedrick Wilson","Saints","WR","255","216","","","cd9c142f-9c93-4088-9213-9538c40b94ec","-0.18"
"Kendrick Bourne","Patriots","WR","256","215.6","79","225","4fc64fed-2d9b-48b3-b191-fa68ffd14df4","-0.19"
"Jauan Jennings","49ers","WR","257","212.3","266","","a536b008-420c-4e5e-a333-c3b05462f128","-0.21"
"Alec Pierce","Colts","WR","258","215.6","189","","fbb251bf-b1b4-4111-bd97-09923e621de8","-0.2"
"Quentin Johnston","Chargers","WR","259","175.8","240","","d1320ecb-9461-4fba-97c1-d40ae8c36cb5","-0.47"
"Noah Brown","Texans","WR","260","215.7","72","","e14e3303-2bf3-4cf2-841f-f4861320d1d8","-0.21"
"Javon Baker","Patriots","WR","261","205.7","","","283389c2-edc9-43fb-a311-fcd3e14f483b","-0.27"
"Elijah Moore","Browns","WR","262","215.1","179","280","99f3f9f4-99bc-4044-887e-7b671d990ba8","-0.22"
"Trey Palmer","Bucs","WR","263","215.9","251","","10f54e5c-2622-4fe7-95ae-eb1876f1b20f","-0.22"
"Zay Jones","Cardinals","WR","264","215","156","","841aaf26-5dfb-426e-97f6-046979ea2f56","-0.23"
"A.T. Perry","Saints","WR","265","215.6","224","","3a0c1c94-323a-4561-8135-4555ac4245bc","-0.23"
"Kadarius Toney","Chiefs","WR","266","215.8","334","","bfcfc3b6-3a88-4b56-97b9-c8d2cdf2f5f4","-0.23"
"Troy Franklin","Broncos","WR","267","197.6","","","fe172b50-3a9a-4b92-bfd7-7c4806855cd3","-0.35"
"Antoine Green","Lions","WR","268","216","334","","48ea47a7-85fd-4446-95f1-55930d05b0e9","-0.24"
"Calvin Austin III","Steelers","WR","269","215.8","255","","ef3fd24b-55b9-4640-9098-4c1dabda6b3c","-0.25"
"Tutu Atwell","Rams","WR","270","215.9","155","","213ba323-af65-4bad-bc69-8806bcb6f8b4","-0.25"
"Devontez Walker","Ravens","WR","271","213.6","","","54969679-9dbf-4deb-a186-d074a361be7d","-0.27"
"Parker Washington","Jaguars","WR","272","215.8","186","","dd9c5c91-e0cb-4b91-af57-3b729228ea31","-0.26"
"Malik Washington","Dolphins","WR","273","214.2","","","71207b30-eb62-41d8-94af-120bf98f5097","-0.27"
"Kendre Miller","Saints","RB","274","199.7","246","","ff629d5a-a1a0-41aa-be94-384346c39dd0","-0.37"
"D'Onta Foreman","Browns","RB","275","215.6","78","","e924f874-0ed1-4a72-a3f7-e4980b9eabf4","-0.28"
"Dylan Laube","Raiders","RB","276","213.8","","","d2a89bb9-9dc8-4667-8389-75ab8de01b47","-0.3"
"Miles Sanders","Panthers","RB","277","215.5","220","39","fbf8b8ae-923c-4e91-a4c9-def0077bcb76","-0.29"
