Pos,PPR,Rank,Player,Team,ESPN Value,UD Value,PriceRank
TE,53,45,Trey McBride,Cardinals,$10,$17,56
WR,54,66,Calvin Ridley,Titans,$15,$7,47
WR,55,42,Tank Dell,Texans,$10,$19,57
WR,56,41,Tee Higgins,Bengals,$14,$19,48
WR,57,44,George Pickens,Steelers,$11,$17,52
TE,58,53,Dalton Kincaid,Bills,$5,$11,77
RB,59,101,Zamir White,Raiders,$7,$2,65
RB,60,100,Jonathon Brooks,Panthers,$5,$2,74
QB,61,51,C.J. Stroud,Texans,$9,$12,59
RB,62,62,David Montgomery,Lions,$4,$8,82
RB,63,102,D'Andre Swift,Bears,$8,$2,61
RB,64,69,James Conner,Cardinals,$7,$6,67
TE,65,99,Evan Engram,Jaguars,$10,$2,54
WR,66,73,Chris Godwin,Bucs,$11,$6,53
WR,67,35,Amari Cooper,Browns,$10,$22,55
TE,68,60,Kyle Pitts,Falcons,$5,$9,76
WR,69,75,Keenan Allen,Bears,$6,$5,73
RB,70,88,Jaylen Warren,Steelers,$4,$3,84
RB,71,109,Brian Robinson,Commanders,$5,$2,75
WR,72,54,Terry McLaurin,Commanders,$6,$10,71
TE,73,72,George Kittle,49ers,$6,$6,68
WR,74,82,Jayden Reed,Packers,$4,$4,80
QB,75,91,Joe Burrow,Bengals,$9,$3,60
WR,76,61,Christian Kirk,Jaguars,$6,$8,72
WR,77,63,Diontae Johnson,Panthers,$7,$8,66
RB,78,68,Najee Harris,Steelers,$4,$6,85
WR,79,47,Rashee Rice,Chiefs,$6,$15,69
QB,80,79,Dak Prescott,Cowboys,$8,$4,62
RB,81,108,Tyjae Spears,Titans,$3,$2,87
RB,82,94,Javonte Williams,Broncos,$3,$3,91
QB,83,76,Kyler Murray,Cardinals,$3,$5,92
WR,84,83,Christian Watson,Packers,$4,$4,81
WR,85,85,DeAndre Hopkins,Titans,$6,$4,70
RB,86,87,Zack Moss,Bengals,$2,$3,112
RB,88,111,Tony Pollard,Titans,$3,$2,88
WR,89,74,Jaxon Smith-Njigba,Seahawks,$4,$5,79
RB,90,151,Ezekiel Elliott,Cowboys,$2,$1,100
TE,91,71,David Njoku,Browns,$2,$6,109
WR,92,86,Jordan Addison,Vikings,$4,$3,83
RB,93,134,Austin Ekeler,Commanders,$3,$1,94
WR,94,81,Ladd McConkey,Chargers,$2,$4,114
RB,95,92,Devin Singletary,Giants,$2,$3,117
RB,96,70,Raheem Mostert,Dolphins,$2,$6,110
WR,97,65,Rome Odunze,Bears,$3,$7,89
WR,98,84,Courtland Sutton,Broncos,$4,$4,78
