Pos,index,Rank,Player,Team,ESPN Value,UD Value
RB,146,178,Jaleel McLaughlin,Broncos,$1,$0
WR,147,159,Xavier Legette,Panthers,$1,$1
WR,148,94,Joshua Palmer,Chargers,$1,$3
WR,149,256,Kendrick Bourne,Patriots,$1,$0
WR,150,160,Marvin Mims,Broncos,$1,$1
WR,151,109,Romeo Doubs,Packers,$1,$2
WR,152,125,Dontayvion Wicks,Packers,$1,$1
RB,153,96,Rico Dowdle,Cowboys,$1,$2
RB,154,280,Miles Sanders,Panthers,$1,$0
RB,155,161,Khalil Herbert,Bears,$1,$0
RB,156,157,Ray Davis,Bills,$1,$1
RB,157,179,Jaylen Wright,Dolphins,$1,$0
RB,158,199,Alexander Mattison,Raiders,$1,$0
RB,159,204,Elijah Mitchell,49ers,$1,$0
WR,160,113,Brandin Cooks,Cowboys,$1,$2
WR,161,154,Josh Downs,Colts,$0,$1
WR,162,182,Ricky Pearsall,49ers,$0,$0
QB,163,121,Tua Tagovailoa,Dolphins,$0,$1
QB,164,135,Jared Goff,Lions,$0,$2
TE,165,190,Cole Kmet,Bears,$1,$0
TE,166,143,Tyler Conklin,Jets,$0,$1
TE,168,166,Juwan Johnson,Saints,$0,$0
TE,193,142,Hunter Henry,Patriots,$0,$1
WR,194,260,Quentin Johnston,Chargers,$0,$0
RB,195,172,Clyde Edwards-Helaire,Chiefs,$0,$0
RB,196,155,Braelon Allen,Jets,$0,$1
QB,197,119,Matthew Stafford,Rams,$0,$2
QB,198,191,Bryce Young,Panthers,$0,$0
QB,199,168,Daniel Jones,Giants,$0,$0
QB,200,185,Baker Mayfield,Bucs,$0,$0
WR,201,158,Demarcus Robinson,Rams,$0,$1
WR,202,181,Wan'Dale Robinson,Giants,$0,$0
WR,203,262,Tyler Boyd,Titans,$0,$0
WR,204,222,Darius Slayton,Giants,$0,$0
WR,205,194,Jalin Hyatt,Giants,$0,$0
TE,206,229,Tucker Kraft,Packers,$0,$0
TE,207,137,Luke Musgrave,Packers,$0,$1
WR,208,148,Jahan Dotson,Commanders,$0,$1
WR,209,195,Jermaine Burton,Bengals,$0,$0
WR,210,236,DJ Chark,Chargers,$0,$0
