Player,Rank,ADP,Diff,Finish2025,Team,Pos,PosRank,Notes,Id
Xavier Legette,300,,,,CAR,WR,107,,26136
Chicago Bears,301,,,,CHI,DST,27,,8050
Brashard Smith,302,,,,KC,RB,87,,27259
Trevor Etienne,303,,,,CAR,RB,88,,25393
Adam Randall,304,,,,BAL,RB,89,,24367
Eli Stowers,305,,,,PHI,TE,41,,23144
Roschon Johnson,307,,,,CHI,RB,90,,25322
Christian Kirk,308,,,,SF,WR,108,,17268
Tua Tagovailoa,311,,,,ATL,QB,35,,19198
Marvin Mims Jr.,313,,,,DEN,WR,109,,23080
Elijah Arroyo,314,,,,SEA,TE,42,,23004
Bryce Lance,315,,,,NO,WR,110,,28129
Joshua Palmer,317,,,,BUF,WR,111,,22845
Atlanta Falcons,319,,,,ATL,DST,28,,8010
Malik Benson,321,,,,LV,WR,112,,26012
Mike Gesicki,322,,,,CIN,TE,43,,17272
Isaiah Bond,325,,,,CLE,WR,113,,24371
Carson Beck,327,,,,ARI,QB,36,,22953
Skyler Bell,334,,,,BUF,WR,114,,28126
Oscar Delp,335,,,,NO,TE,44,,25430
Marlin Klein,336,,,,HOU,TE,45,,28157
Theo Johnson,337,,,,NYG,TE,46,,23104
Brandon Aiyuk,338,,,,SF,WR,115,,19252
Raheim Sanders,339,,,,CLE,RB,91,,24351
Sione Vaki,340,,,,DET,RB,92,,26309
Zavion Thomas,341,,,,CHI,WR,116,,28132
Kareem Hunt,342,,,,FA,RB,93,,16425
Jaydon Blue,344,,,,PHI,RB,94,,24344
Brenen Thompson,346,,,,LAC,WR,117,,28133
Hollywood Brown,347,,,,PHI,WR,118,,18226
Ashton Dulin,348,,,,IND,WR,119,,18656
Colbie Young,349,,,,CIN,WR,120,,26037
Jalen Royals,350,,,,KC,WR,121,,27076
Devin Neal,351,,,,FA,RB,95,,23682
CJ Daniels,352,,,,LAR,WR,122,,28125
Savion Williams,353,,,,GB,WR,123,,27144
Demarcus Robinson,354,,,,SF,WR,124,,15665
Jalen Tolbert,355,,,,MIA,WR,125,,23770
Trey Benson,356,,,,ARI,RB,96,,25388
Roman Wilson,357,,,,PIT,WR,126,,28896
Matt Hibner,359,,,,BAL,TE,47,,28168
Kendrick Bourne,360,,,,ARI,WR,127,,17066
Kalif Raymond,361,,,,CHI,WR,128,,16081
Emari Demercado,363,,,,DAL,RB,97,,25654
