Rank,Player,Team,Pos,ECR,Diff,Direction
243,Jahan Dotson,ATL,WR,330,+87,Boone higher than ECR
244,Jalen Tolbert,MIA,WR,335,+91,Boone higher than ECR
245,Tyquan Thornton,KC,WR,282,+37,Boone higher than ECR
246,Hollywood Brown,PHI,WR,294,+48,Boone higher than ECR
248,Rashod Bateman,BAL,WR,230,+18,ECR higher than Boone
249,Darius Slayton,NYG,WR,267,+18,Boone higher than ECR
250,Treylon Burks,WAS,WR,363,+113,Boone higher than ECR
254,Harrison Mevis,LAR,K,236,+18,ECR higher than Boone
255,Pittsburgh Steelers,PIT,DST,182,+73,ECR higher than Boone
256,Baltimore Ravens,BAL,DST,203,+53,ECR higher than Boone
257,Detroit Lions,DET,DST,216,+41,ECR higher than Boone
258,Tyler Loop,BAL,K,209,+49,ECR higher than Boone
259,Buffalo Bills,BUF,DST,226,+33,ECR higher than Boone
260,Cairo Santos,CHI,K,214,+46,ECR higher than Boone
261,Will Reichard,MIN,K,286,+25,Boone higher than ECR
262,Konata Mumpfield,LAR,WR,325,+63,Boone higher than ECR
264,Devaughn Vele,NO,WR,285,+21,Boone higher than ECR
265,Keenan Allen,LAC,WR,290,+25,Boone higher than ECR
266,Jake Bates,DET,K,227,+39,ECR higher than Boone
267,Darnell Washington,PIT,TE,322,+55,Boone higher than ECR
268,Pat Freiermuth,PIT,TE,235,+33,ECR higher than Boone
269,Cade Otton,TB,TE,238,+31,ECR higher than Boone
271,Erick All Jr.,CIN,TE,387,+116,Boone higher than ECR
272,Geno Smith,NYJ,QB,223,+49,ECR higher than Boone
274,Shedeur Sanders,CLE,QB,289,+15,Boone higher than ECR
275,Deshaun Watson,CLE,QB,299,+24,Boone higher than ECR
278,Tahj Brooks,CIN,RB,314,+36,Boone higher than ECR
280,Adam Randall,BAL,RB,305,+25,Boone higher than ECR
282,Samaje Perine,CIN,RB,269,+13,ECR higher than Boone
283,Devin Singletary,NYG,RB,296,+13,Boone higher than ECR
284,Trevor Etienne,CAR,RB,309,+25,Boone higher than ECR
285,Jawhar Jordan,HOU,RB,360,+75,Boone higher than ECR
288,Carson Beck,ARI,QB,348,+60,Boone higher than ECR
289,Cooper Kupp,SEA,WR,221,+68,ECR higher than Boone
290,Calvin Ridley,TEN,WR,187,+103,ECR higher than Boone
291,Jalen Royals,KC,WR,331,+40,Boone higher than ECR
293,Kayshon Boutte,NE,WR,175,+118,ECR higher than Boone
294,Savion Williams,GB,WR,367,+73,Boone higher than ECR
295,Jack Bech,LV,WR,241,+54,ECR higher than Boone
296,Kevin Coleman Jr.,MIA,WR,380,+84,Boone higher than ECR
297,Kalif Raymond,CHI,WR,359,+62,Boone higher than ECR
298,Zavion Thomas,CHI,WR,383,+85,Boone higher than ECR
299,Ty Johnson,BUF,RB,250,+49,ECR higher than Boone
300,Kaleb Johnson,PIT,RB,280,+20,ECR higher than Boone
301,Eli Heidenreich,PIT,RB,352,+51,Boone higher than ECR
