Player,Rank,ADP,Diff,Finish2025,Team,Pos,PosRank,Notes,Id
Tyler Allgeier,152,138.3,,126,ARI,RB,46,,9abe9b0f-ac15-496a-9fe6-8e2936d122c1
Mike Washington,153,155.4,,,LV,RB,47,,5a5bfcaa-e87c-4ace-8f2c-5c494dd7950e
Isiah Pacheco,154,166.7,,219,DET,RB,48,,1a2115d5-cf2b-40f2-a512-e4d3fadc60e7
Jerry Jeudy,155,167.1,,170,CLE,WR,64,,392cac47-00b2-4189-b006-58ebc14b23bf
Calvin Ridley,156,180.5,,245,TEN,WR,65,,52947412-4003-4b6b-9660-5a2aa4ca1bd7
Kenyon Sadiq,157,141.1,,,NYJ,TE,19,,a59c3f47-ac4f-4bbc-8ea0-4b0afe04b9dc
Juwan Johnson,158,155.3,,115,NO,TE,20,,4d3349f4-94a4-4d53-bdcb-8d754c37a315
T.J. Hockenson,159,168.1,,241,MIN,TE,21,,7d34e47d-044c-4a44-90b4-d1ce54549cea
Dalton Schultz,160,176.1,,113,HOU,TE,22,,9fd3effd-2d57-43d1-9da9-118e0aa3689b
Hunter Henry,161,159.7,,77,NE,TE,23,,aa36686a-7005-49d2-8db8-2ccbe6e483e0
Daniel Jones,162,141.2,,145,IND,QB,26,,f9b4b51b-3d0e-47b6-bbc4-d73ed3340f82
Chig Okonkwo,163,160,,207,WAS,TE,24,,9f843748-952c-4e26-b336-d35a73a18c2e
Cade Otton,164,194.2,,154,TB,TE,25,,268e4c6c-716d-467c-856a-1297e1c743cf
Brian Robinson,165,170.7,,,ATL,RB,49,,602683fa-4f9e-44ce-b92d-44dcca9ca2a4
Tank Bigsby,166,181.6,,188,PHI,RB,50,,9ad5fbe4-e29b-4c36-a7cb-9309acf60abe
Braelon Allen,167,164,,,NYJ,RB,51,,c90c934c-9d10-4836-a138-d8ce1e2198d2
Jonah Coleman,168,143.7,,,DEN,RB,52,,e77fc2ba-9f10-418d-8133-14b993d3f59e
Tyjae Spears,169,159.5,,159,TEN,RB,53,,05a6881d-5311-49a0-be02-83b85e831b2b
Geno Smith,170,168.2,,185,NYJ,QB,27,,d11c4534-5691-488e-910d-7707c6c12e44
Fernando Mendoza,171,165.8,,,LV,QB,28,,0b218e62-7871-4c50-99aa-7268ab5c5c28
Jacoby Brissett,172,161.8,,178,ARI,QB,29,,00fa8a29-92e1-4a0f-b4d1-8fab945cfcd3
Aaron Rodgers,173,198.6,,201,PIT,QB,30,,db9d8880-ccab-480e-8fa3-d0e1c1fe0297
Antonio Williams,174,200.1,,,WAS,WR,66,,9e0fd3fb-73c5-4f37-b250-1b768168bbf1
De'Zhaun Stribling,175,196.7,,,SF,WR,67,,77b3cf07-cf9b-4068-832f-4f787e7e7259
Omar Cooper,176,131.8,,,NYJ,WR,68,,9b6b5dd5-bcdf-4155-aa42-9b6c948e851e
Ryan Flournoy,177,202.7,,139,DAL,WR,69,,e351f43e-e09b-4509-be8b-9bfa83d46ad7
Tre Tucker,178,185,,100,LV,WR,70,,5387ce75-723a-46f8-a393-b0bd2207291c
Jack Bech,179,214.7,,332,LV,WR,71,,32bdcf83-11aa-4fef-857a-88419965dbc2
Denzel Boston,180,146.1,,,CLE,WR,72,,5d942e20-efde-4e9b-b4be-8112da68037a
Keaton Mitchell,181,153.4,,297,LAC,RB,54,,5b54e335-28d1-4a11-bca1-3fe22ed959e3
Kaytron Allen,182,197.5,,,WAS,RB,55,,3e027734-95ef-495e-bb49-43caf28f632d
Kaelon Black,183,213.6,,,SF,RB,56,,2b4755db-65b8-4ebb-a6ac-dcc87d34c16b
Justice Hill,184,214.9,,163,BAL,RB,57,,ad69fd40-04a0-42d9-b8bc-b01b02910d5d
Isaac TeSlaa,185,168.9,,187,DET,WR,73,,8d520a36-2e8c-4bd3-84d3-29708cef21ab
Kayshon Boutte,186,183.8,,92,NE,WR,74,,578083fd-28b7-4f25-9ab5-76dac063ab44
Tre' Harris,187,178.2,,339,LAC,WR,75,,d53f8a01-f0d6-441b-b85a-d69b2095642d
Alvin Kamara,188,196.1,,160,NO,RB,58,,8f61d453-4928-4717-a57e-d8f8f21fa211
Emmett Johnson,189,171.4,,,KC,RB,59,,58ef4b7e-c240-4470-8313-46a066fd93b9
Emanuel Wilson,190,192.4,,129,SEA,RB,60,,3f6dd9e5-b0ac-46bc-bbc5-c6ce3f046a19
Zach Charbonnet,191,128.1,,46,SEA,RB,61,,eb6be1fa-c875-4300-87e2-7809671a5a00
Chris Brooks,192,215.2,,,GB,RB,62,,02dccdb4-7ecd-4ee5-9fd8-1531213ce3c6
Sean Tucker,193,195.8,,125,TB,RB,63,,3a013faa-4c46-49e8-bc5d-54d3a9803c1e
David Njoku,194,202.6,,196,,TE,26,,de7bde14-cf9f-4b06-98f4-8c52c41bf649
Terrance Ferguson,195,207.4,,230,LAR,TE,27,,625be843-9bf8-4602-9029-a88e52b084bd
Eli Stowers,196,183.2,,,PHI,TE,28,,290c697a-95db-494a-9728-a1c3f90d4395
Gunnar Helm,197,190.1,,,TEN,TE,29,,8b12012c-b9e9-40d8-bb16-f4d696bb150f
Cooper Kupp,198,212.7,,197,SEA,WR,76,,dbe588a1-cdaf-458e-a0b4-daa450f19bbf
Adonai Mitchell,199,183.1,,155,NYJ,WR,77,,6b6c0fe5-926b-4c07-869e-932beca840ba
Dontayvion Wicks,200,182.5,,173,PHI,WR,78,,5df1a513-165c-4a68-8430-397522553e27
Chris Bell,201,207.8,,,MIA,WR,79,,f78d35e4-b166-4fc2-8d37-90fe6c95d790
Chris Brazzell,202,202.6,,,CAR,WR,80,,9c0a23d8-b2c0-4b5f-b348-70cd1e1d6669
Germie Bernard,203,191.8,,,PIT,WR,81,,4f3c5505-9940-4dfc-bc57-603892bccb40
Malik Washington,204,190.8,,227,MIA,WR,82,,9ff86d7b-4419-4124-b7f7-45e95948cd07
Tua Tagovailoa,205,204,,242,ATL,QB,31,,088cc763-b559-43bc-a5fa-899f811452ff
Michael Penix,206,212.1,,243,ATL,QB,32,,4a2d05c3-cb53-441f-b01f-869caa3d3db1
Kirk Cousins,207,215.1,,251,LV,QB,33,,4b055bc7-6f2a-4ed2-8027-9e9d73a98adf
Deshaun Watson,208,215.2,,,CLE,QB,35,,ec328230-8186-4309-8242-ca1e6c806e58
Ray Davis,209,205.7,,171,BUF,RB,64,,2367117b-16b7-45a4-970d-9ed4cf3f7e38
Kimani Vidal,210,206.8,,81,LAC,RB,65,,4a119663-b322-43a7-bfd3-19662f4e21b2
Najee Harris,211,215.8,,,,RB,66,,ae3a35f7-dd56-4915-9dd6-d4b94c9e3b2e
Nicholas Singleton,212,183.5,,,TEN,RB,67,,892fedf8-412c-4307-bab0-2a04c33b1642
Adam Randall,213,215.2,,,BAL,RB,68,,1bca686d-e264-4c60-9f2f-2c099315b414
Jordan James,214,206.7,,,SF,RB,69,,5c1416ec-0b1b-47d6-ad15-6dc75e170caf
Dawson Knox,215,215.5,,168,BUF,TE,30,,4e8e072d-6099-489b-a97f-a1e75f2cf1ab
Mike Gesicki,216,212.2,,198,CIN,TE,31,,d580ee61-2ae9-4765-8065-85a4dc403af3
Pat Freiermuth,217,203,,149,PIT,TE,32,,ef187a90-1a0c-46af-9775-ebaa0fbbc6d1
Shedeur Sanders,218,212.3,,182,CLE,QB,34,,b3699351-6046-4cfa-9cce-3a881e504d07
James Conner,219,199.3,,237,ARI,RB,70,,016f6b17-5612-436b-adf1-c717873cb230
DJ Giddens,220,215.7,,,IND,RB,71,,fd58ddcc-8f81-4922-bbbf-3d3fe82e687b
Tyreek Hill,221,183.3,,192,,WR,83,,16f0ce34-5e49-42fe-ab4f-02127a203252
Christian Kirk,222,189.6,,141,SF,WR,84,,8228dbe3-e9fb-422b-b2ed-499162f15ef0
Darnell Mooney,223,196.3,,246,NYG,WR,85,,bcf68759-6db5-45da-b6d9-859dc7a3ba4e
Tank Dell,224,195.1,,,HOU,WR,86,,2b915546-701a-43ba-83b8-14b637feaff5
Elijah Sarratt,225,204.9,,,BAL,WR,94,,a2a2da64-8443-4c7d-a1ce-835f30eca698
Pat Bryant,226,210.7,,264,DEN,WR,89,,97ac300b-1153-4a8d-ac58-47f85d74cd51
Tory Horton,227,209.6,,135,SEA,WR,87,,87e7baef-4eb4-46ca-aac1-4df33d0f0ce5
Troy Franklin,228,211,,80,DEN,WR,90,,e7ceb8ee-3f04-41d2-ade4-c91891883414
Hollywood Brown,229,215,,146,PHI,WR,92,,2fbbfb58-d145-4c4d-a191-94da934aeb97
Devaughn Vele,230,214.6,,195,NO,WR,93,,df9c6e16-ff33-446a-8c7c-7635a409155d
Zachariah Branch,231,209.6,,,ATL,WR,96,,76ded0dc-a456-4503-a04d-a4fb41aafbc8
Rashod Bateman,232,215.1,,247,BAL,WR,88,,0c387d43-416a-4895-932c-6ffdf97ff68a
Keon Coleman,233,214.9,,164,BUF,WR,100,,1862183c-6a0a-4cf9-b4ae-071c39cab7d1
Keenan Allen,234,215.7,,103,,WR,102,,2a6806b0-2be1-47bc-9adc-84f7348bdf22
Andrei Iosivas,235,215.4,,199,CIN,WR,105,,5d017d0c-0864-4cec-93d0-e5c68c76fca2
Ja'Kobi Lane,236,213.5,,,BAL,WR,106,,748b1bde-0acf-4e4d-bc1d-a634c3188c20
Jalen Tolbert,237,215.8,,281,MIA,WR,108,,ff73b868-18dc-4dc0-aa07-30bf79323218
Darius Slayton,238,215.6,,232,NYG,WR,109,,ee61b327-de07-483b-b872-eb251e6c2613
